filename,imagename,imageID,url,img_P,paperTitle,ifHumanFace,numOfSeg,Number of distinct color names,colorNames,sp,isTarget,hit,miss,fa,cr,name,HR,FAR,imagename,score,group,index,count,responseCount,Feature congestion,Entropy,Number of edges,0,Author,Paper Title,Paper URL,Paper DOI,Year,meanH,meanS,meanV,LAB avg.,the number of distinct colors congrong,the number of distinct colors(Rui),the number of distinct colors,the number of distinct colors2
2009 Zhou 10.1109/TVCG.2009.120 c 1.png,bio287.png,I804,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio287.png,,,,2,4,"white, grey, mauve, pink",7.494746005,1,36,27,8,223,I804,0.5714,0.0346,bio287.png,1.997051358,2,804,155,69,2.8408,6.2194,8.5305,58,Jianlong Zhou;Masahiro Takatsuka,Automatic Transfer Function Generation Using Contour Tree Controlled Residue Flow Model and Color Harmonics,http://dx.doi.org/10.1109/TVCG.2009.120,10.1109/TVCG.2009.120,2009,0.191332863,0.056025161,0.304016083,"31.5676913745,-0.780194977295,1.61889189813",5,5,5,2
2013 Köhler 10.1109/TVCG.2013.189 c 5.png,bio605.png,I868,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio605.png,,,,3,19,"white, grey, black, navyblue, blue, lightblue, teal, green, darkgreen, yellow, olive, darkteal, tan, brown, beige, lightgreen, mustard, purple, yellowgreen",29.78698681,1,38,22,11,212,I868,0.6333,0.0493,bio605.png,1.99228531,2,868,142,84,5.5384,6.4112,5.9687,122,Benjamin K√∂hler;Rocco Gasteiger;Uta Preim;Holger Theisel;Matthias Gutberlet;Bernhard Preim,Semi-Automatic Vortex Extraction in 4D PC-MRI Cardiac Blood Flow Data using Line Predicates,http://dx.doi.org/10.1109/TVCG.2013.189,10.1109/TVCG.2013.189,2013,0.050793267,0.45944649,0.162491255,"13.4991466697,3.74732626959,4.55127455334",4,3,3.5,2
2017 Klein 10.1109/TVCG.2017.2744258 c 11.png,bio834.png,I914,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio834.png,,,,5,21,"white, grey, lavender, lightblue, blue, purple, navyblue, red, maroon, darkpurple, olive, green, brown, mustard, black, yellow, darkgreen, teal, orange, pink, magenta",7.829475131,1,33,35,5,228,I914,0.4853,0.0215,bio834.png,1.986854213,2,914,150,74,2.7004,5.9526,16.9543,168,"Tobias Klein, Ludovic Autin, Barbora Kozl√≠kov√°, David S. Goodsell, Arthur Olson, M. Eduard Gr√∂ller, Ivan Viola",Instant Construction and Visualization of Crowded Biological Environments,http://dx.doi.org/10.1109/TVCG.2017.2744258,10.1109/TVCG.2017.2744258,2017,0.535909723,0.410468922,0.715391481,"64.0023490092,-5.62308814741,-5.0355620908",5,4,4.5,2
2013 Jackson 10.1109/TVCG.2013.121 c 9.png,bio598.png,I865,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio598.png,,,,2,18,"black, grey, darkgreen, green, teal, brown, blue, purple, darkpurple, maroon, mauve, pink, red, lightblue, navyblue, olive, tan, magenta",12.01000095,1,49,17,21,210,I865,0.7424,0.0909,bio598.png,1.985995511,2,865,149,81,2.0655,5.786,9.6242,119,Bret Jackson;Tung Yuen Lau;David Schroeder;Kimani C. Toussaint;Daniel F. Keefe,A Lightweight Tangible 3D Interface for Interactive Visualization of Thin fiber Structures,http://dx.doi.org/10.1109/TVCG.2013.121,10.1109/TVCG.2013.121,2013,0.539362774,0.129972163,0.280208766,"25.8542422021,-0.731637556564,-0.701685965597",8,9,8.5,3
2015 Weiss 10.1109/TVCG.2015.2467412 c 1.png,bio770.png,I902,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio770.png,,,,2,8,"white, grey, blue, navyblue, teal, darkgreen, black, green",9.310362538,1,30,32,5,228,I902,0.4839,0.0215,bio770.png,1.983342315,2,902,146,73,2.8544,6.353,6.4696,156,Kenneth Weiss;Peter Lindstrom,Adaptive Multilinear Tensor Product Wavelets,http://dx.doi.org/10.1109/TVCG.2015.2467412,10.1109/TVCG.2015.2467412,2015,0.364076058,0.156790115,0.178106508,"16.3070870427,-5.21637589367,3.13950583638",3,3,3,1
2008 Schultz 10.1109/TVCG.2008.128 c 3.png,bio109.png,I765,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio109.png,,,,2,15,"grey, purple, blue, teal, green, pink, mauve, tan, brown, olive, lavender, salmon, black, peach, orange",10.9888154,1,39,30,9,252,I765,0.5652,0.0345,bio109.png,1.982586355,2,765,149,76,3.2683,6.9573,6.5281,19,Thomas Schultz;Hans-Peter Seidel,Estimating Crossing fibers: A Tensor Decomposition Approach,http://dx.doi.org/10.1109/TVCG.2008.128,10.1109/TVCG.2008.128,2008,0.050958996,0.13954266,0.87855421,"84.0024706164,4.11321161463,5.19677463287",7,6,6.5,2
2008 Meyer-Spradow 10.1109/TVCG.2008.136 c 6.png,bio102.png,I763,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio102.png,,,,2,8,"white, grey, brown, tan, orange, peach, yellow, black",18.18588608,1,44,21,15,218,I763,0.6769,0.0644,bio102.png,1.977898599,2,763,139,64,4.175,5.0411,6.2238,17,Jennis Meyer-Spradow;Lars Stegger;Christian D√∂ring;Timo Ropinski;Klaus H. Hinrichs,Glyph-Based SPECT Visualization for the Diagnosis of Coronary Artery Disease,http://dx.doi.org/10.1109/TVCG.2008.136,10.1109/TVCG.2008.136,2008,0.637650264,0.481992517,0.659722061,"54.1696627803,5.57426866884,-20.1950330863",7,5,6,2
2010 Saad 10.1109/TVCG.2010.152 c 6.png,bio356.png,I819,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio356.png,,,,2,7,"black, grey, brown, tan, beige, peach, orange",9.008941782,1,28,44,3,248,I819,0.3889,0.012,bio356.png,1.97494208,2,819,150,61,1.9399,1.4879,2.4564,73,Ahmed Saad;Ghassan Hamarneh;Torsten M√∂ller,Exploration and Visualization of Segmentation Uncertainty using Shape and Appearance Prior Information,http://dx.doi.org/10.1109/TVCG.2010.152,10.1109/TVCG.2010.152,2010,0.180032307,0.206887661,0.206207389,"19.1301619169,-0.911701291008,2.16565576711",8,7,7.5,3
2010 Zeng 10.1109/TVCG.2010.200 c 3.png,bio381.png,I824,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio381.png,,,,3,4,"white, grey, black, lightblue",22.58249413,1,46,15,25,224,I824,0.7541,0.1004,bio381.png,1.96672439,2,824,134,67,5.427,4.5639,7.2013,78,Wei Zeng;Joseph Marino;Krishna Chaitanya Gurijala;Xianfeng Gu;Arie E. Kaufman,Supine and Prone Colon Registration Using Quasi-Conformal Mapping,http://dx.doi.org/10.1109/TVCG.2010.200,10.1109/TVCG.2010.200,2010,0.307972924,0.54348934,0.803728764,"73.4553469837,-23.0687804952,20.1625674235",4,3,3.5,2
2010 Zeng 10.1109/TVCG.2010.200 c 2.png,bio380.png,I823,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio380.png,,,,2,14,"white, grey, pink, brown, tan, salmon, peach, beige, lightblue, red, green, black, mauve, orange",13.23127089,1,37,18,15,217,I823,0.6727,0.0647,bio380.png,1.963853168,2,823,114,82,3.8759,4.385,5.0567,77,Wei Zeng;Joseph Marino;Krishna Chaitanya Gurijala;Xianfeng Gu;Arie E. Kaufman,Supine and Prone Colon Registration Using Quasi-Conformal Mapping,http://dx.doi.org/10.1109/TVCG.2010.200,10.1109/TVCG.2010.200,2010,0.594283494,0.340879862,0.74650428,"66.4664576981,-1.10066565887,-12.9280732544",6,4,5,2
2017 Klein 10.1109/TVCG.2017.2744258 c 10.png,bio833.png,I913,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio833.png,,,,2,18,"red, brown, black, pink, salmon, maroon, purple, darkpurple, navyblue, blue, grey, teal, mustard, darkgreen, olive, green, mauve, orange",21.71481621,1,33,22,10,218,I913,0.6,0.0439,bio833.png,1.96046576,2,913,109,72,3.7732,6.9868,22.2585,167,"Tobias Klein, Ludovic Autin, Barbora Kozl√≠kov√°, David S. Goodsell, Arthur Olson, M. Eduard Gr√∂ller, Ivan Viola",Instant Construction and Visualization of Crowded Biological Environments,http://dx.doi.org/10.1109/TVCG.2017.2744258,10.1109/TVCG.2017.2744258,2017,0.143557367,0.071405973,0.80000423,"80.4984043327,-0.993581343763,4.18037863525",6,3,4.5,2
2010 Yu 10.1109/TVCG.2010.157 c 3.png,bio370.png,I822,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio370.png,,,,2,17,"black, navyblue, blue, grey, lightblue, purple, brown, darkpurple, lavender, mauve, white, teal, green, tan, pink, maroon, beige",18.07755484,1,39,22,13,226,I822,0.6393,0.0544,bio370.png,1.960198555,2,822,108,64,3.7435,7.3097,9.1305,76,Lingyun Yu;Pjotr Svetachov;Petra Isenberg;Maarten H. Everts;Tobias Isenberg,FI3D: Direct-Touch Interaction for the Exploration of 3D Scientific Visualization Spaces,http://dx.doi.org/10.1109/TVCG.2010.157,10.1109/TVCG.2010.157,2010,0.076762313,0.104549898,0.861091866,"84.5686095781,1.97621525919,5.45338443743",5,4,4.5,2
2017 Usher 10.1109/TVCG.2017.2744079 c 3.png,bio889.png,I925,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio889.png,,,,2,7,"grey, lavender, lightblue, blue, purple, navyblue, pink",3.266712431,1,41,15,21,210,I925,0.7321,0.0909,bio889.png,1.954409942,2,925,116,76,1.6826,3.7238,3.4226,179,"Will Usher, Pavol Klacansky, Frederick Federer, Peer-Timo Bremer, Aaron Knoll, Alessandra Angelucci, Valerio Pascucci",A Virtual Reality Visualization Tool for Neuron Tracing,http://dx.doi.org/10.1109/TVCG.2017.2744079,10.1109/TVCG.2017.2744079,2017,0.948834564,0.049128057,0.294589859,"29.7614424306,1.1028636162,-0.0804344045537",8,6,7,3
2009 Banks 10.1109/TVCG.2009.137 c 1.png,bio149.png,I771,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio149.png,,,,2,4,"brown, grey, white, black",4.283377192,1,42,24,13,221,I771,0.6364,0.0556,bio149.png,1.941675134,2,771,92,72,1.8418,6.485,5.7953,25,David C. Banks;Kevin Beason,Decoupling Illumination from Isosurface Generation Using 4D Light Transport,http://dx.doi.org/10.1109/TVCG.2009.137,10.1109/TVCG.2009.137,2009,0.110929634,0.423021917,0.953855346,"86.830958949,3.08836080686,38.9085094515",4,3,3.5,2
2013 Kretschmer 10.1109/TVCG.2013.169 c 6.png,bio619.png,I870,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio619.png,,,,5,10,"white, grey, purple, navyblue, blue, black, brown, maroon, red, teal",23.73341742,1,32,23,9,206,I870,0.5818,0.0419,bio619.png,1.935551287,2,870,78,64,3.5863,2.5842,6.9428,124,Jan Kretschmer;Christian Godenschwager;Bernhard Preim;Marc Stamminger,Interactive Patient-Specific Vascular Modeling with Sweep Surfaces,http://dx.doi.org/10.1109/TVCG.2013.169,10.1109/TVCG.2013.169,2013,0.143274563,0.299336603,0.309913777,"26.5369909012,-2.06292757922,10.7002202618",7,8,7.5,3
2009 Jeong 10.1109/TVCG.2009.178 c 1.png,bio223.png,I785,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio223.png,,,,5,19,"white, blue, grey, pink, tan, peach, brown, beige, salmon, lightblue, black, yellow, orange, purple, green, teal, red, mauve, lavender",28.01295031,1,36,28,9,224,I785,0.5625,0.0386,bio223.png,1.924479265,2,785,96,61,5.9899,5.8336,11.162,39,Won-Ki Jeong;Johanna Beyer;Markus Hadwiger;Amelio V√°zquez Reina;Hanspeter Pfister;Ross T. Whitaker,Scalable and Interactive Segmentation and Visualization of Neural Processes in EM Datasets,http://dx.doi.org/10.1109/TVCG.2009.178,10.1109/TVCG.2009.178,2009,0.156061473,0.284880898,0.738208096,"70.5611646374,-4.41505484197,15.7412137853",7,7,7,3
2010 Khoury 10.1109/TVCG.2010.182 c 2.png,bio311.png,I809,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio311.png,,,1,2,15,"blue, teal, grey, brown, tan, beige, green, peach, pink, mauve, lightgreen, white, lightpink, purple, lightblue",5.641982276,1,44,14,27,215,I809,0.7586,0.1116,bio311.png,1.919869338,2,809,86,62,2.5973,4.8986,7.1598,63,Marc Khoury;Rephael Wenger,On the Fractal Dimension of Isosurfaces,http://dx.doi.org/10.1109/TVCG.2010.182,10.1109/TVCG.2010.182,2010,0.901104347,0.056177858,0.76138305,"75.9277644369,1.40259983925,-0.533655473964",8,7,7.5,3
2008 Joshi 10.1109/TVCG.2008.150 c 6.png,bio64.png,I758,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio64.png,,,1,2,12,"black, grey, white, pink, purple, lavender, blue, beige, tan, mauve, lightblue, brown",5.431356391,1,36,18,16,209,I758,0.6667,0.0711,bio64.png,1.898466471,2,758,81,68,2.1467,5.873,8.5623,12,Alark Joshi;Dustin Scheinost;Kenneth P. Vives;Dennis D. Spencer;Lawrence H. Staib;Xenophon Papademetris,Novel interaction techniques for neurosurgical planning and stereotactic navigation,http://dx.doi.org/10.1109/TVCG.2008.150,10.1109/TVCG.2008.150,2008,0.119268955,0.12646999,0.31943725,"30.9084671618,-0.332071874647,6.99822861246",8,6,7,3
2011 Koehler 10.1109/TVCG.2011.260 c 19.png,bio449.png,I837,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio449.png,,,,2,21,"white, pink, grey, black, brown, tan, blue, lavender, maroon, red, salmon, darkgreen, peach, green, orange, olive, yellow, mauve, beige, lightgreen, teal",22.7446567,1,37,31,9,234,I837,0.5441,0.037,bio449.png,1.897381771,2,837,89,71,5.5348,3.9474,7.7236,91,Christopher Koehler;Thomas Wischgoll;Haibo Dong;Zachary Gaston,Vortex Visualization in Ultra Low Reynolds Number Insect Flight,http://dx.doi.org/10.1109/TVCG.2011.260,10.1109/TVCG.2011.260,2011,0.080179415,0.622619532,0.26405055,"18.0310899416,6.61753878589,15.3942717169",8,7,7.5,3
2009 Jeong 10.1109/TVCG.2009.178 c 5.png,bio227.png,I786,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio227.png,,,,5,2,"white, grey",11.37373185,1,24,43,3,237,I786,0.3582,0.0125,bio227.png,1.878128442,2,786,69,61,3.7166,5.2636,10.3181,40,Won-Ki Jeong;Johanna Beyer;Markus Hadwiger;Amelio V√°zquez Reina;Hanspeter Pfister;Ross T. Whitaker,Scalable and Interactive Segmentation and Visualization of Neural Processes in EM Datasets,http://dx.doi.org/10.1109/TVCG.2009.178,10.1109/TVCG.2009.178,2009,0.018280915,0.289205419,0.794783804,"68.7051217572,18.3410290556,10.8462658784",4,2,3,1
2009 Chuang 10.1109/TVCG.2009.150 c 4.png,bio188.png,I779,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio188.png,,,,2,12,"black, grey, brown, maroon, blue, peach, pink, red, navyblue, mauve, purple, salmon",12.0566554,1,36,34,8,236,I779,0.5143,0.0328,bio188.png,1.876999598,2,779,55,61,2.4187,4.9827,9.5804,33,Johnson Chuang;Daniel Weiskopf;Torsten M√∂ller,Hue-Preserving Color Blending,http://dx.doi.org/10.1109/TVCG.2009.150,10.1109/TVCG.2009.150,2009,0.077337398,0.169667026,0.340544864,"31.9074940931,1.98350857588,5.30750954782",7,9,8,3
2008 Krüger 10.1109/TVCG.2008.161 c 1.png,bio68.png,I760,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio68.png,,,1,2,8,"white, grey, beige, tan, black, olive, brown, peach",10.35594605,1,27,34,5,225,I760,0.4426,0.0217,bio68.png,1.875459352,2,760,66,65,3.1213,7.1801,8.0856,14,Arno Kr√ºger;Christoph Kubisch;Gero Strau√ü;Bernhard Preim,Sinus Endoscopy - Application of Advanced GPU Volume Rendering for Virtual Endoscopy,http://dx.doi.org/10.1109/TVCG.2008.161,10.1109/TVCG.2008.161,2008,0.187319269,0.381359431,0.584594593,"58.1377201777,-10.0027467831,24.0466283176",6,4,5,2
2009 Jeong 10.1109/TVCG.2009.178 c 8.png,bio230.png,I789,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio230.png,,,,2,3,"white, grey, black",31.56196388,1,38,28,11,225,I789,0.5758,0.0466,bio230.png,1.869914292,2,789,56,64,5.4961,5.1812,11.9021,43,Won-Ki Jeong;Johanna Beyer;Markus Hadwiger;Amelio V√°zquez Reina;Hanspeter Pfister;Ross T. Whitaker,Scalable and Interactive Segmentation and Visualization of Neural Processes in EM Datasets,http://dx.doi.org/10.1109/TVCG.2009.178,10.1109/TVCG.2009.178,2009,0.052364946,0.290110394,0.156165373,"13.4699913694,3.31241903682,4.19540985104",4,3,3.5,2
2011 Sundén 10.1109/TVCG.2011.211 c 2.png,bio499.png,I845,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio499.png,,,1,2,5,"white, grey, pink, brown, black",6.281304818,1,49,21,20,202,I845,0.7,0.0901,bio499.png,1.864540001,2,845,50,66,2.2142,6.1366,7.322,99,Erik Sund√©n;Anders Ynnerman;Timo Ropinski,Image Plane Sweep Volume Illumination,http://dx.doi.org/10.1109/TVCG.2011.211,10.1109/TVCG.2011.211,2011,0.09622045,0.771645666,0.082472437,"7.59005779784,0.25207558507,1.70284834782",6,6,6,2
2014 Choi 10.1109/TVCG.2014.2346322 c 3.png,bio664.png,I879,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio664.png,,,,2,24,"white, grey, lightblue, pink, lightpink, lavender, blue, beige, purple, tan, brown, mauve, peach, green, salmon, red, olive, navyblue, teal, offwhite, maroon, lightgreen, magenta, orange",7.716697851,1,36,32,9,233,I879,0.5294,0.0372,bio664.png,1.85790736,2,879,52,76,4.022,5.3424,8.1555,133,Hyungsuk Choi;Woohyuk Choi;Tran Minh Quan;David G. C. Hildebrand;Hanspeter Pfister;Won-Ki Jeong,Vivaldi: A Domain-Specific Language for Volume Processing and Visualization on Distributed Heterogeneous Systems,http://dx.doi.org/10.1109/TVCG.2014.2346322,10.1109/TVCG.2014.2346322,2014,0.36442337,0.093549325,0.814334115,"80.4089597878,-1.61167780449,0.934431459316",7,5,6,2
2017 Bock 10.1109/TVCG.2017.2743980 c 7.png,bio822.png,I911,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio822.png,,,,3,21,"grey, black, brown, olive, yellow, orange, darkgreen, green, limegreen, yellowgreen, red, maroon, teal, navyblue, darkteal, purple, blue, darkpurple, tan, white, lightblue",14.59133452,1,33,25,11,225,I911,0.569,0.0466,bio822.png,1.852582797,2,911,56,62,2.3358,3.9381,9.0385,165,"Alexander Bock, Harish Doraiswamy, Adam Summers, Cl√°udio Silva",TopoAngler: Interactive Topology-Based Extraction of Fishes,http://dx.doi.org/10.1109/TVCG.2017.2743980,10.1109/TVCG.2017.2743980,2017,0.878706584,0.218801496,0.236948466,"18.9333733835,4.4513631781,-2.17222323563",8,7,7.5,3
2010 Tikhonova 10.1109/TVCG.2010.215a c 8.png,bio367.png,I821,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio367.png,,,,2,11,"white, grey, pink, brown, mauve, tan, peach, beige, salmon, lightpink, black",8.724283168,1,29,31,7,212,I821,0.4833,0.032,bio367.png,1.810306934,2,821,40,61,4.02,7.1046,12.2465,75,Anna Tikhonova;Carlos D. Correa;Kwan-Liu Ma,Visualization by Proxy: A Novel Framework for Deferred Interaction with Volume Data,http://dx.doi.org/10.1109/TVCG.2010.215,10.1109/TVCG.2010.215,2010,0.068715881,0.009046514,0.623313679,"63.2134829384,0.223382187816,0.491556232329",4,3,3.5,2
2009 Everts 10.1109/TVCG.2009.138 c 14.png,bio216.png,I784,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio216.png,,,,2,3,"white, grey, black",83.06402455,1,49,23,22,220,I784,0.6806,0.0909,bio216.png,1.804610563,2,784,52,69,11.0272,6.224,22.3622,38,Maarten H. Everts;Henk Bekker;Jos B. T. M. Roerdink;Tobias Isenberg,Depth-Dependent Halos: Illustrative Rendering of Dense Line Data,http://dx.doi.org/10.1109/TVCG.2009.138,10.1109/TVCG.2009.138,2009,0.676259305,0.160271177,0.727890426,"64.8108682688,7.15248684024,-15.9943031991",6,3,4.5,2
2017 Klein 10.1109/TVCG.2017.2744258 c 3.png,bio841.png,I915,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio841.png,,,,2,25,"white, lightblue, grey, lightgreen, green, darkgreen, black, teal, olive, yellow, mustard, brown, darkpurple, purple, mauve, pink, navyblue, red, maroon, orange, tan, peach, salmon, magenta, blue",30.75207108,1,41,17,25,212,I915,0.7069,0.1055,bio841.png,1.795171367,2,915,42,66,7.6057,6.466,15.4137,169,"Tobias Klein, Ludovic Autin, Barbora Kozl√≠kov√°, David S. Goodsell, Arthur Olson, M. Eduard Gr√∂ller, Ivan Viola",Instant Construction and Visualization of Crowded Biological Environments,http://dx.doi.org/10.1109/TVCG.2017.2744258,10.1109/TVCG.2017.2744258,2017,0.041274255,0.652894293,0.745565759,"56.4303168004,22.297180737,21.5885046847",6,4,5,2
2013 Ehlke 10.1109/TVCG.2013.159 c 1.png,bio569.png,I860,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio569.png,,,,3,8,"white, grey, black, beige, brown, tan, navyblue, purple",29.2448794,1,35,32,10,229,I860,0.5224,0.0418,bio569.png,1.786347486,2,860,41,76,4.6611,4.8993,11.0092,114,Moritz Ehlke;Heiko Ramm;Hans Lamecker;Hans-Christian Hege;Stefan Zachow,Fast Generation of Virtual X-ray Images for Reconstruction of 3D Anatomy,http://dx.doi.org/10.1109/TVCG.2013.159,10.1109/TVCG.2013.159,2013,0.636864716,0.301661604,0.50006501,"40.0109974538,5.32056203906,-18.8141799276",4,3,3.5,2
2010 Lindholm 10.1109/TVCG.2010.195 c 2.png,bio322.png,I812,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio322.png,,,,8,5,"black, darkgreen, green, grey, white",23.57512862,1,30,39,6,225,I812,0.4348,0.026,bio322.png,1.778967159,2,812,34,64,6.6374,6.3709,11.2727,66,Stefan Lindholm;Patric Ljung;Claes Lundstr√∂m;Anders Persson;Anders Ynnerman,Spatial Conditioning of Transfer Functions Using Local Material Distributions,http://dx.doi.org/10.1109/TVCG.2010.195,10.1109/TVCG.2010.195,2010,0.83145801,0.071035761,0.842941683,"82.1701924908,3.66795191735,-2.6308144343",4,3,3.5,2
2008 Zhou 10.1109/TVCG.2008.176 c 1.png,bio148.png,I770,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio148.png,,,1,5,10,"white, grey, pink, navyblue, blue, teal, black, brown, purple, lightblue",7.478344136,1,34,31,10,222,I770,0.5231,0.0431,bio148.png,1.773728157,2,770,33,68,2.5347,5.5476,6.0605,24,Kaichi Zhou;Eugene Zhang;Jir√≠ Bittner;Peter Wonka,Visibility-driven Mesh Analysis and Visualization through Graph Cuts,http://dx.doi.org/10.1109/TVCG.2008.176,10.1109/TVCG.2008.176,2008,0.284683033,0.359190341,0.254323065,"22.5055790645,-9.05624542718,9.12989985338",4,3,3.5,2
2017 Klein 10.1109/TVCG.2017.2744258 c 5.png,bio843.png,I917,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio843.png,,,,2,12,"white, grey, beige, tan, yellow, olive, brown, mustard, black, darkgreen, green, navyblue",20.29553592,1,29,16,18,204,I917,0.6444,0.0811,bio843.png,1.767955499,2,917,27,79,5.8348,6.2637,11.8778,171,"Tobias Klein, Ludovic Autin, Barbora Kozl√≠kov√°, David S. Goodsell, Arthur Olson, M. Eduard Gr√∂ller, Ivan Viola",Instant Construction and Visualization of Crowded Biological Environments,http://dx.doi.org/10.1109/TVCG.2017.2744258,10.1109/TVCG.2017.2744258,2017,0.092054234,0.599685436,0.458762436,"37.5833489289,0.200754078147,1.2031163848",9,6,7.5,3
2009 Keefe 10.1109/TVCG.2009.152 c 4.png,bio241.png,I793,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio241.png,,,,6,12,"grey, blue, purple, mauve, pink, red, salmon, brown, white, black, beige, tan",16.20951866,1,40,17,27,221,I793,0.7018,0.1089,bio241.png,1.761983762,2,793,28,62,3.7092,4.9031,7.645,47,Daniel F. Keefe;Marcus Ewert;William Ribarsky;Remco Chang,Interactive Coordinated Multiple-View Visualization of Biomechanical Motion Data,http://dx.doi.org/10.1109/TVCG.2009.152,10.1109/TVCG.2009.152,2009,0.018660645,0.113717392,0.960867788,"90.7444909148,9.0264544837,5.24099650984",3,2,2.5,1
2009 Wan 10.1109/TVCG.2009.118 c 5.png,bio273.png,I802,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio273.png,,,,2,6,"black, grey, brown, olive, yellow, tan",12.57957419,1,31,30,10,227,I802,0.5082,0.0422,bio273.png,1.746263566,2,802,25,72,2.4547,6.5011,15.4432,56,Yong Wan;Hideo Otsuna;Chi-Bin Chien;Charles D. Hansen,An interactive visualization tool for multi-channel confocal microscopy data in neurobiology research,http://dx.doi.org/10.1109/TVCG.2009.118,10.1109/TVCG.2009.118,2009,0.589140495,0.396515007,0.268796699,"25.0116645501,-0.346693034456,-1.95653233048",3,2,2.5,1
2016 Schneider 10.1109/TVCG.2016.2599043  c 3.png,bio800.png,I906,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio800.png,,,,2,8,"white, grey, lightblue, green, teal, blue, darkgreen, black",10.28746717,1,34,30,11,217,I906,0.5312,0.0482,bio800.png,1.74084941,3,906,25,75,3.4697,1.9062,4.8528,160,Jens Schneider;Peter Rautek,A Versatile and Efficient GPU Data Structure for Spatial Indexing,http://dx.doi.org/10.1109/TVCG.2016.2599043,10.1109/TVCG.2016.2599043,2016,0.049508458,0.211007405,0.588660767,"55.8512889008,5.3423424053,6.4113375017",4,3,3.5,2
2013 Zhao 10.1109/TVCG.2013.135 c 1.png,bio636.png,I875,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio636.png,,,,2,23,"white, grey, lightblue, blue, brown, tan, beige, pink, teal, mauve, purple, navyblue, lavender, darkpurple, red, peach, salmon, black, olive, green, maroon, orange, darkgreen",9.463134008,1,41,23,20,215,I875,0.6406,0.0851,bio636.png,1.731624483,3,875,21,70,3.8698,6.2507,6.6008,129,Xin Zhao;Zhengyu Su;Xianfeng Gu;Arie E. Kaufman;Jian Sun;Jie Gao;Feng Luo,Area-Preservation Mapping using Optimal Mass Transport,http://dx.doi.org/10.1109/TVCG.2013.135,10.1109/TVCG.2013.135,2013,0.981261544,0.38014862,0.758238084,"63.4909685671,15.2681738527,3.28922032621",7,4,5.5,2
2017 Quan 10.1109/TVCG.2017.2744078 c 1.png,bio880.png,I924,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio880.png,,,,3,9,"white, grey, pink, mauve, brown, purple, maroon, black, darkpurple",6.770517867,1,40,27,16,215,I924,0.597,0.0693,bio880.png,1.726614192,3,924,31,78,2.1464,4.1257,6.7679,178,"Tran Minh Quan, Junyoung Choi, Haejin Jeong, Won-Ki Jeong",An Intelligent System Approach for Probabilistic Volume Rendering Using Hierarchical 3D Convolutional Sparse Coding,http://dx.doi.org/10.1109/TVCG.2017.2744078,10.1109/TVCG.2017.2744078,2017,0.978939457,0.137859693,0.35418624,"31.2513997103,7.32539659144,1.37982203203",6,4,5,2
